"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2018;"00 a 03 anos";3.631
80001;"Água Rasa";2018;"04 a 05 anos";1.853
80001;"Água Rasa";2018;"06 anos";904
80001;"Água Rasa";2018;"07 a 10 anos";3.365
80001;"Água Rasa";2018;"11 a 14 anos";3.064
80001;"Água Rasa";2018;"15 a 17 anos";2.489
80001;"Água Rasa";2018;"18 a 19 anos";1.783
80001;"Água Rasa";2018;"Total da Seleção";17.089
80001;"Água Rasa";2018;"Total Geral da População";83.127
80002;"Alto de Pinheiros";2018;"00 a 03 anos";1.300
80002;"Alto de Pinheiros";2018;"04 a 05 anos";686
80002;"Alto de Pinheiros";2018;"06 anos";344
80002;"Alto de Pinheiros";2018;"07 a 10 anos";1.369
80002;"Alto de Pinheiros";2018;"11 a 14 anos";1.363
80002;"Alto de Pinheiros";2018;"15 a 17 anos";1.077
80002;"Alto de Pinheiros";2018;"18 a 19 anos";770
80002;"Alto de Pinheiros";2018;"Total da Seleção";6.909
80002;"Alto de Pinheiros";2018;"Total Geral da População";41.421
80003;"Anhanguera";2018;"00 a 03 anos";4.710
80003;"Anhanguera";2018;"04 a 05 anos";2.284
80003;"Anhanguera";2018;"06 anos";1.124
80003;"Anhanguera";2018;"07 a 10 anos";4.433
80003;"Anhanguera";2018;"11 a 14 anos";4.597
80003;"Anhanguera";2018;"15 a 17 anos";3.938
80003;"Anhanguera";2018;"18 a 19 anos";2.886
80003;"Anhanguera";2018;"Total da Seleção";23.972
80003;"Anhanguera";2018;"Total Geral da População";81.269
80004;"Aricanduva";2018;"00 a 03 anos";4.040
80004;"Aricanduva";2018;"04 a 05 anos";2.054
80004;"Aricanduva";2018;"06 anos";1.014
80004;"Aricanduva";2018;"07 a 10 anos";3.927
80004;"Aricanduva";2018;"11 a 14 anos";3.867
80004;"Aricanduva";2018;"15 a 17 anos";3.240
80004;"Aricanduva";2018;"18 a 19 anos";2.323
80004;"Aricanduva";2018;"Total da Seleção";20.465
80004;"Aricanduva";2018;"Total Geral da População";86.501
80005;"Artur Alvim";2018;"00 a 03 anos";4.778
80005;"Artur Alvim";2018;"04 a 05 anos";2.448
80005;"Artur Alvim";2018;"06 anos";1.212
80005;"Artur Alvim";2018;"07 a 10 anos";4.705
